"student_index","baseline_prob","scenario_prob","delta_prob","baseline_class","scenario_class","class_changed","actual_at_risk"
47,0.6369,0.63,-0.0069,"At Risk","At Risk",FALSE,"Low Risk"
232,0.2791,0.2722,-0.0069,"Low Risk","Low Risk",FALSE,"At Risk"
321,0.6364,0.6295,-0.0069,"At Risk","At Risk",FALSE,"At Risk"
211,0.6969,0.6901,-0.0068,"At Risk","At Risk",FALSE,"Low Risk"
237,0.844,0.8374,-0.0066,"At Risk","At Risk",FALSE,"Low Risk"
277,0.8602,0.8536,-0.0066,"At Risk","At Risk",FALSE,"At Risk"
335,0.792,0.7854,-0.0066,"At Risk","At Risk",FALSE,"Low Risk"
234,0.8312,0.8249,-0.0063,"At Risk","At Risk",FALSE,"At Risk"
268,0.4793,0.4732,-0.0061,"Low Risk","Low Risk",FALSE,"Low Risk"
297,0.5185,0.5123,-0.0061,"At Risk","At Risk",FALSE,"At Risk"
309,0.1619,0.156,-0.0059,"Low Risk","Low Risk",FALSE,"Low Risk"
178,0.6597,0.6542,-0.0055,"At Risk","At Risk",FALSE,"At Risk"
230,0.802,0.7965,-0.0055,"At Risk","At Risk",FALSE,"Low Risk"
317,0.5524,0.5469,-0.0055,"At Risk","At Risk",FALSE,"At Risk"
3,0.3253,0.3199,-0.0054,"Low Risk","Low Risk",FALSE,"Low Risk"
257,0.7634,0.758,-0.0054,"At Risk","At Risk",FALSE,"Low Risk"
79,0.7759,0.7708,-0.0052,"At Risk","At Risk",FALSE,"At Risk"
290,0.76,0.755,-0.005,"At Risk","At Risk",FALSE,"Low Risk"
105,0.7304,0.7255,-0.0049,"At Risk","At Risk",FALSE,"Low Risk"
210,0.728,0.7231,-0.0049,"At Risk","At Risk",FALSE,"At Risk"
305,0.556,0.5512,-0.0049,"At Risk","At Risk",FALSE,"Low Risk"
327,0.5381,0.5332,-0.0049,"At Risk","At Risk",FALSE,"Low Risk"
369,0.728,0.7231,-0.0049,"At Risk","At Risk",FALSE,"Low Risk"
152,0.6318,0.6272,-0.0046,"At Risk","At Risk",FALSE,"Low Risk"
82,0.7613,0.7568,-0.0045,"At Risk","At Risk",FALSE,"At Risk"
270,0.1447,0.1402,-0.0045,"Low Risk","Low Risk",FALSE,"At Risk"
46,0.6665,0.6621,-0.0044,"At Risk","At Risk",FALSE,"At Risk"
248,0.3416,0.3372,-0.0044,"Low Risk","Low Risk",FALSE,"At Risk"
184,0.8574,0.8532,-0.0043,"At Risk","At Risk",FALSE,"Low Risk"
342,0.8058,0.8015,-0.0043,"At Risk","At Risk",FALSE,"Low Risk"
40,0.6986,0.6945,-0.0042,"At Risk","At Risk",FALSE,"Low Risk"
229,0.783,0.7788,-0.0042,"At Risk","At Risk",FALSE,"Low Risk"
349,0.2163,0.2122,-0.0041,"Low Risk","Low Risk",FALSE,"Low Risk"
38,0.6302,0.6262,-0.004,"At Risk","At Risk",FALSE,"Low Risk"
141,0.2832,0.2793,-0.004,"Low Risk","Low Risk",FALSE,"At Risk"
258,0.7154,0.7113,-0.004,"At Risk","At Risk",FALSE,"Low Risk"
289,0.7644,0.7603,-0.004,"At Risk","At Risk",FALSE,"Low Risk"
331,0.631,0.6269,-0.004,"At Risk","At Risk",FALSE,"Low Risk"
352,0.6298,0.6258,-0.004,"At Risk","At Risk",FALSE,"At Risk"
386,0.6338,0.6298,-0.004,"At Risk","At Risk",FALSE,"At Risk"
70,0.8468,0.843,-0.0039,"At Risk","At Risk",FALSE,"Low Risk"
372,0.7292,0.7253,-0.0039,"At Risk","At Risk",FALSE,"Low Risk"
88,0.8523,0.8486,-0.0038,"At Risk","At Risk",FALSE,"Low Risk"
226,0.8115,0.8077,-0.0038,"At Risk","At Risk",FALSE,"Low Risk"
1,0.4552,0.4516,-0.0037,"Low Risk","Low Risk",FALSE,"At Risk"
112,0.5155,0.5118,-0.0037,"At Risk","At Risk",FALSE,"Low Risk"
151,0.5214,0.5177,-0.0037,"At Risk","At Risk",FALSE,"Low Risk"
390,0.1629,0.1593,-0.0037,"Low Risk","Low Risk",FALSE,"At Risk"
53,0.5799,0.5763,-0.0036,"At Risk","At Risk",FALSE,"Low Risk"
61,0.5825,0.5789,-0.0036,"At Risk","At Risk",FALSE,"Low Risk"
85,0.5977,0.5941,-0.0036,"At Risk","At Risk",FALSE,"At Risk"
201,0.5877,0.5841,-0.0036,"At Risk","At Risk",FALSE,"Low Risk"
214,0.859,0.8554,-0.0036,"At Risk","At Risk",FALSE,"Low Risk"
294,0.758,0.7544,-0.0036,"At Risk","At Risk",FALSE,"Low Risk"
106,0.7748,0.7713,-0.0035,"At Risk","At Risk",FALSE,"At Risk"
180,0.8325,0.8291,-0.0035,"At Risk","At Risk",FALSE,"At Risk"
251,0.606,0.6024,-0.0035,"At Risk","At Risk",FALSE,"Low Risk"
275,0.3916,0.3881,-0.0035,"Low Risk","Low Risk",FALSE,"Low Risk"
338,0.7123,0.7087,-0.0035,"At Risk","At Risk",FALSE,"Low Risk"
197,0.7789,0.7755,-0.0034,"At Risk","At Risk",FALSE,"Low Risk"
204,0.635,0.6316,-0.0034,"At Risk","At Risk",FALSE,"Low Risk"
8,0.3311,0.3278,-0.0033,"Low Risk","Low Risk",FALSE,"At Risk"
188,0.6731,0.6698,-0.0033,"At Risk","At Risk",FALSE,"At Risk"
76,0.8009,0.7978,-0.0032,"At Risk","At Risk",FALSE,"Low Risk"
278,0.0982,0.095,-0.0032,"Low Risk","Low Risk",FALSE,"At Risk"
346,0.8268,0.8236,-0.0032,"At Risk","At Risk",FALSE,"Low Risk"
42,0.807,0.8039,-0.0031,"At Risk","At Risk",FALSE,"Low Risk"
193,0.8087,0.8057,-0.0031,"At Risk","At Risk",FALSE,"Low Risk"
267,0.8086,0.8055,-0.0031,"At Risk","At Risk",FALSE,"Low Risk"
62,0.2877,0.2846,-0.003,"Low Risk","Low Risk",FALSE,"Low Risk"
94,0.7164,0.7134,-0.003,"At Risk","At Risk",FALSE,"Low Risk"
156,0.8168,0.8139,-0.003,"At Risk","At Risk",FALSE,"Low Risk"
192,0.8849,0.8818,-0.003,"At Risk","At Risk",FALSE,"At Risk"
328,0.7817,0.7787,-0.003,"At Risk","At Risk",FALSE,"At Risk"
56,0.8225,0.8196,-0.0029,"At Risk","At Risk",FALSE,"Low Risk"
293,0.7306,0.7276,-0.0029,"At Risk","At Risk",FALSE,"Low Risk"
6,0.8735,0.8708,-0.0027,"At Risk","At Risk",FALSE,"Low Risk"
108,0.7563,0.7535,-0.0027,"At Risk","At Risk",FALSE,"Low Risk"
209,0.7558,0.753,-0.0027,"At Risk","At Risk",FALSE,"At Risk"
235,0.8764,0.8737,-0.0027,"At Risk","At Risk",FALSE,"Low Risk"
256,0.7567,0.754,-0.0027,"At Risk","At Risk",FALSE,"Low Risk"
287,0.7574,0.7546,-0.0027,"At Risk","At Risk",FALSE,"Low Risk"
381,0.6839,0.6813,-0.0027,"At Risk","At Risk",FALSE,"At Risk"
345,0.8176,0.8151,-0.0026,"At Risk","At Risk",FALSE,"Low Risk"
19,0.0685,0.0661,-0.0025,"Low Risk","Low Risk",FALSE,"At Risk"
29,0.5234,0.5209,-0.0025,"At Risk","At Risk",FALSE,"Low Risk"
129,0.8551,0.8526,-0.0025,"At Risk","At Risk",FALSE,"Low Risk"
190,0.8886,0.8862,-0.0025,"At Risk","At Risk",FALSE,"Low Risk"
284,0.5127,0.5103,-0.0025,"At Risk","At Risk",FALSE,"Low Risk"
340,0.5096,0.5071,-0.0025,"At Risk","At Risk",FALSE,"Low Risk"
394,0.726,0.7235,-0.0025,"At Risk","At Risk",FALSE,"At Risk"
18,0.5334,0.5309,-0.0024,"At Risk","At Risk",FALSE,"Low Risk"
68,0.5855,0.5831,-0.0024,"At Risk","At Risk",FALSE,"At Risk"
92,0.4151,0.4127,-0.0024,"Low Risk","Low Risk",FALSE,"At Risk"
114,0.8623,0.86,-0.0024,"At Risk","At Risk",FALSE,"At Risk"
159,0.4406,0.4382,-0.0024,"Low Risk","Low Risk",FALSE,"Low Risk"
252,0.4473,0.4449,-0.0024,"Low Risk","Low Risk",FALSE,"At Risk"
271,0.5894,0.5871,-0.0024,"At Risk","At Risk",FALSE,"Low Risk"
283,0.4439,0.4414,-0.0024,"Low Risk","Low Risk",FALSE,"Low Risk"
354,0.5522,0.5498,-0.0024,"At Risk","At Risk",FALSE,"Low Risk"
86,0.6184,0.6161,-0.0023,"At Risk","At Risk",FALSE,"At Risk"
109,0.6427,0.6404,-0.0023,"At Risk","At Risk",FALSE,"Low Risk"
179,0.6367,0.6345,-0.0023,"At Risk","At Risk",FALSE,"Low Risk"
286,0.7594,0.7571,-0.0023,"At Risk","At Risk",FALSE,"Low Risk"
299,0.752,0.7497,-0.0023,"At Risk","At Risk",FALSE,"Low Risk"
365,0.6288,0.6265,-0.0023,"At Risk","At Risk",FALSE,"Low Risk"
2,0.669,0.6668,-0.0022,"At Risk","At Risk",FALSE,"At Risk"
121,0.8172,0.815,-0.0022,"At Risk","At Risk",FALSE,"Low Risk"
174,0.6569,0.6547,-0.0022,"At Risk","At Risk",FALSE,"At Risk"
202,0.6715,0.6693,-0.0022,"At Risk","At Risk",FALSE,"Low Risk"
279,0.8749,0.8727,-0.0022,"At Risk","At Risk",FALSE,"Low Risk"
113,0.9089,0.9069,-0.0021,"At Risk","At Risk",FALSE,"Low Risk"
207,0.9079,0.9059,-0.0021,"At Risk","At Risk",FALSE,"Low Risk"
288,0.827,0.8249,-0.0021,"At Risk","At Risk",FALSE,"Low Risk"
344,0.695,0.6929,-0.0021,"At Risk","At Risk",FALSE,"Low Risk"
350,0.1244,0.1223,-0.0021,"Low Risk","Low Risk",FALSE,"At Risk"
16,0.71,0.708,-0.002,"At Risk","At Risk",FALSE,"Low Risk"
63,0.7075,0.7055,-0.002,"At Risk","At Risk",FALSE,"At Risk"
208,0.8378,0.8358,-0.002,"At Risk","At Risk",FALSE,"Low Risk"
245,0.8375,0.8354,-0.002,"At Risk","At Risk",FALSE,"Low Risk"
17,0.8521,0.8503,-0.0019,"At Risk","At Risk",FALSE,"Low Risk"
370,0.2522,0.2503,-0.0019,"Low Risk","Low Risk",FALSE,"At Risk"
219,0.7571,0.7553,-0.0018,"At Risk","At Risk",FALSE,"Low Risk"
356,0.7636,0.7618,-0.0018,"At Risk","At Risk",FALSE,"Low Risk"
98,0.8634,0.8617,-0.0017,"At Risk","At Risk",FALSE,"Low Risk"
102,0.7864,0.7847,-0.0017,"At Risk","At Risk",FALSE,"Low Risk"
133,0.9554,0.9537,-0.0017,"At Risk","At Risk",FALSE,"Low Risk"
206,0.168,0.1662,-0.0017,"Low Risk","Low Risk",FALSE,"At Risk"
312,0.6623,0.6607,-0.0017,"At Risk","At Risk",FALSE,"Low Risk"
329,0.7749,0.7732,-0.0017,"At Risk","At Risk",FALSE,"Low Risk"
339,0.7709,0.7692,-0.0017,"At Risk","At Risk",FALSE,"Low Risk"
353,0.2153,0.2136,-0.0017,"Low Risk","Low Risk",FALSE,"At Risk"
371,0.6546,0.6529,-0.0017,"At Risk","At Risk",FALSE,"Low Risk"
58,0.7931,0.7915,-0.0016,"At Risk","At Risk",FALSE,"Low Risk"
247,0.0429,0.0413,-0.0016,"Low Risk","Low Risk",FALSE,"At Risk"
263,0.7913,0.7897,-0.0016,"At Risk","At Risk",FALSE,"At Risk"
295,0.7915,0.7899,-0.0016,"At Risk","At Risk",FALSE,"Low Risk"
358,0.792,0.7904,-0.0016,"At Risk","At Risk",FALSE,"Low Risk"
391,0.6959,0.6943,-0.0016,"At Risk","At Risk",FALSE,"Low Risk"
67,0.8185,0.817,-0.0015,"At Risk","At Risk",FALSE,"Low Risk"
166,0.8089,0.8074,-0.0015,"At Risk","At Risk",FALSE,"Low Risk"
231,0.806,0.8045,-0.0015,"At Risk","At Risk",FALSE,"Low Risk"
12,0.8306,0.8292,-0.0014,"At Risk","At Risk",FALSE,"Low Risk"
87,0.8334,0.8321,-0.0014,"At Risk","At Risk",FALSE,"Low Risk"
177,0.8316,0.8302,-0.0014,"At Risk","At Risk",FALSE,"At Risk"
189,0.8335,0.8322,-0.0014,"At Risk","At Risk",FALSE,"Low Risk"
5,0.8391,0.8378,-0.0013,"At Risk","At Risk",FALSE,"Low Risk"
110,0.9031,0.9018,-0.0013,"At Risk","At Risk",FALSE,"Low Risk"
161,0.1021,0.1008,-0.0013,"Low Risk","Low Risk",FALSE,"At Risk"
218,0.7773,0.776,-0.0013,"At Risk","At Risk",FALSE,"At Risk"
326,0.7642,0.7629,-0.0013,"At Risk","At Risk",FALSE,"Low Risk"
376,0.1577,0.1564,-0.0013,"Low Risk","Low Risk",FALSE,"Low Risk"
59,0.6148,0.6137,-0.0012,"At Risk","At Risk",FALSE,"At Risk"
64,0.5686,0.5674,-0.0012,"At Risk","At Risk",FALSE,"At Risk"
95,0.4838,0.4826,-0.0012,"Low Risk","Low Risk",FALSE,"Low Risk"
96,0.3916,0.3904,-0.0012,"Low Risk","Low Risk",FALSE,"Low Risk"
97,0.4499,0.4487,-0.0012,"Low Risk","Low Risk",FALSE,"Low Risk"
119,0.9096,0.9084,-0.0012,"At Risk","At Risk",FALSE,"Low Risk"
196,0.8626,0.8614,-0.0012,"At Risk","At Risk",FALSE,"Low Risk"
220,0.4044,0.4032,-0.0012,"Low Risk","Low Risk",FALSE,"At Risk"
272,0.6264,0.6252,-0.0012,"At Risk","At Risk",FALSE,"Low Risk"
322,0.8073,0.8062,-0.0012,"At Risk","At Risk",FALSE,"Low Risk"
330,0.5153,0.5141,-0.0012,"At Risk","At Risk",FALSE,"At Risk"
361,0.5016,0.5004,-0.0012,"At Risk","At Risk",FALSE,"Low Risk"
69,0.6536,0.6525,-0.0011,"At Risk","At Risk",FALSE,"At Risk"
155,0.6888,0.6878,-0.0011,"At Risk","At Risk",FALSE,"At Risk"
175,0.8761,0.875,-0.0011,"At Risk","At Risk",FALSE,"At Risk"
200,0.6807,0.6796,-0.0011,"At Risk","At Risk",FALSE,"Low Risk"
255,0.3176,0.3165,-0.0011,"Low Risk","Low Risk",FALSE,"At Risk"
380,0.8678,0.8667,-0.0011,"At Risk","At Risk",FALSE,"Low Risk"
25,0.7371,0.7362,-0.001,"At Risk","At Risk",FALSE,"At Risk"
39,0.7287,0.7277,-0.001,"At Risk","At Risk",FALSE,"Low Risk"
50,0.2721,0.2712,-0.001,"Low Risk","Low Risk",FALSE,"At Risk"
60,0.6919,0.6908,-0.001,"At Risk","At Risk",FALSE,"Low Risk"
80,0.7081,0.707,-0.001,"At Risk","At Risk",FALSE,"Low Risk"
91,0.8846,0.8836,-0.001,"At Risk","At Risk",FALSE,"Low Risk"
115,0.7006,0.6996,-0.001,"At Risk","At Risk",FALSE,"Low Risk"
273,0.711,0.71,-0.001,"At Risk","At Risk",FALSE,"Low Risk"
319,0.697,0.6959,-0.001,"At Risk","At Risk",FALSE,"Low Risk"
325,0.8446,0.8436,-0.001,"At Risk","At Risk",FALSE,"Low Risk"
357,0.6924,0.6913,-0.001,"At Risk","At Risk",FALSE,"Low Risk"
55,0.9364,0.9355,-9e-04,"At Risk","At Risk",FALSE,"Low Risk"
81,0.9002,0.8993,-9e-04,"At Risk","At Risk",FALSE,"Low Risk"
107,0.7496,0.7486,-9e-04,"At Risk","At Risk",FALSE,"Low Risk"
116,0.7639,0.763,-9e-04,"At Risk","At Risk",FALSE,"Low Risk"
171,0.7731,0.7723,-9e-04,"At Risk","At Risk",FALSE,"Low Risk"
186,0.7463,0.7454,-9e-04,"At Risk","At Risk",FALSE,"Low Risk"
246,0.9006,0.8997,-9e-04,"At Risk","At Risk",FALSE,"Low Risk"
274,0.7778,0.777,-9e-04,"At Risk","At Risk",FALSE,"Low Risk"
351,0.7529,0.752,-9e-04,"At Risk","At Risk",FALSE,"Low Risk"
377,0.9011,0.9002,-9e-04,"At Risk","At Risk",FALSE,"Low Risk"
20,0.9093,0.9085,-8e-04,"At Risk","At Risk",FALSE,"Low Risk"
28,0.9094,0.9086,-8e-04,"At Risk","At Risk",FALSE,"Low Risk"
37,0.7957,0.7949,-8e-04,"At Risk","At Risk",FALSE,"Low Risk"
43,0.7869,0.7861,-8e-04,"At Risk","At Risk",FALSE,"Low Risk"
49,0.7881,0.7873,-8e-04,"At Risk","At Risk",FALSE,"Low Risk"
66,0.7892,0.7884,-8e-04,"At Risk","At Risk",FALSE,"Low Risk"
241,0.7871,0.7863,-8e-04,"At Risk","At Risk",FALSE,"Low Risk"
261,0.7927,0.7919,-8e-04,"At Risk","At Risk",FALSE,"At Risk"
266,0.8065,0.8057,-8e-04,"At Risk","At Risk",FALSE,"Low Risk"
4,0.8239,0.8232,-7e-04,"At Risk","At Risk",FALSE,"Low Risk"
48,0.9225,0.9218,-7e-04,"At Risk","At Risk",FALSE,"Low Risk"
51,0.8371,0.8364,-7e-04,"At Risk","At Risk",FALSE,"Low Risk"
52,0.8161,0.8153,-7e-04,"At Risk","At Risk",FALSE,"Low Risk"
84,0.843,0.8424,-7e-04,"At Risk","At Risk",FALSE,"Low Risk"
143,0.8235,0.8228,-7e-04,"At Risk","At Risk",FALSE,"Low Risk"
222,0.8294,0.8287,-7e-04,"At Risk","At Risk",FALSE,"Low Risk"
227,0.8343,0.8336,-7e-04,"At Risk","At Risk",FALSE,"Low Risk"
233,0.8355,0.8348,-7e-04,"At Risk","At Risk",FALSE,"Low Risk"
236,0.9229,0.9222,-7e-04,"At Risk","At Risk",FALSE,"Low Risk"
238,0.8341,0.8335,-7e-04,"At Risk","At Risk",FALSE,"Low Risk"
375,0.8409,0.8402,-7e-04,"At Risk","At Risk",FALSE,"Low Risk"
385,0.8411,0.8404,-7e-04,"At Risk","At Risk",FALSE,"Low Risk"
13,0.8697,0.8692,-6e-04,"At Risk","At Risk",FALSE,"Low Risk"
74,0.8508,0.8502,-6e-04,"At Risk","At Risk",FALSE,"Low Risk"
122,0.8573,0.8567,-6e-04,"At Risk","At Risk",FALSE,"Low Risk"
158,0.866,0.8654,-6e-04,"At Risk","At Risk",FALSE,"Low Risk"
382,0.8477,0.8471,-6e-04,"At Risk","At Risk",FALSE,"Low Risk"
14,0.8745,0.874,-5e-04,"At Risk","At Risk",FALSE,"Low Risk"
27,0.8824,0.8819,-5e-04,"At Risk","At Risk",FALSE,"Low Risk"
83,0.9423,0.9418,-5e-04,"At Risk","At Risk",FALSE,"Low Risk"
147,0.8821,0.8816,-5e-04,"At Risk","At Risk",FALSE,"Low Risk"
157,0.0389,0.0384,-5e-04,"Low Risk","Low Risk",FALSE,"Low Risk"
176,0.8881,0.8876,-5e-04,"At Risk","At Risk",FALSE,"Low Risk"
181,0.8971,0.8966,-5e-04,"At Risk","At Risk",FALSE,"Low Risk"
215,0.8757,0.8751,-5e-04,"At Risk","At Risk",FALSE,"Low Risk"
282,0.7116,0.7111,-5e-04,"At Risk","At Risk",FALSE,"Low Risk"
285,0.8813,0.8807,-5e-04,"At Risk","At Risk",FALSE,"Low Risk"
323,0.6664,0.6659,-5e-04,"At Risk","At Risk",FALSE,"Low Risk"
392,0.073,0.0725,-5e-04,"Low Risk","Low Risk",FALSE,"At Risk"
73,0.0805,0.0801,-4e-04,"Low Risk","Low Risk",FALSE,"At Risk"
120,0.9102,0.9098,-4e-04,"At Risk","At Risk",FALSE,"Low Risk"
142,0.9003,0.8999,-4e-04,"At Risk","At Risk",FALSE,"Low Risk"
163,0.9046,0.9042,-4e-04,"At Risk","At Risk",FALSE,"Low Risk"
262,0.7891,0.7887,-4e-04,"At Risk","At Risk",FALSE,"Low Risk"
23,0.9353,0.935,-3e-04,"At Risk","At Risk",FALSE,"Low Risk"
78,0.0739,0.0736,-3e-04,"Low Risk","Low Risk",FALSE,"Low Risk"
127,0.0677,0.0674,-3e-04,"Low Risk","Low Risk",FALSE,"At Risk"
7,0.8127,0.8127,0,"At Risk","At Risk",FALSE,"Low Risk"
9,0.8917,0.8917,0,"At Risk","At Risk",FALSE,"Low Risk"
10,0.9324,0.9324,0,"At Risk","At Risk",FALSE,"Low Risk"
11,0.8774,0.8774,0,"At Risk","At Risk",FALSE,"At Risk"
15,0.8052,0.8052,0,"At Risk","At Risk",FALSE,"Low Risk"
21,0.9551,0.9551,0,"At Risk","At Risk",FALSE,"Low Risk"
22,0.8965,0.8965,0,"At Risk","At Risk",FALSE,"Low Risk"
24,0.7106,0.7106,0,"At Risk","At Risk",FALSE,"Low Risk"
31,0.9302,0.9302,0,"At Risk","At Risk",FALSE,"Low Risk"
32,0.8914,0.8914,0,"At Risk","At Risk",FALSE,"Low Risk"
33,0.7445,0.7445,0,"At Risk","At Risk",FALSE,"Low Risk"
34,0.9359,0.9359,0,"At Risk","At Risk",FALSE,"Low Risk"
35,0.779,0.779,0,"At Risk","At Risk",FALSE,"Low Risk"
36,0.8329,0.8329,0,"At Risk","At Risk",FALSE,"At Risk"
44,0.7392,0.7392,0,"At Risk","At Risk",FALSE,"Low Risk"
54,0.5977,0.5977,0,"At Risk","At Risk",FALSE,"Low Risk"
57,0.8964,0.8964,0,"At Risk","At Risk",FALSE,"Low Risk"
65,0.6845,0.6845,0,"At Risk","At Risk",FALSE,"Low Risk"
71,0.8447,0.8447,0,"At Risk","At Risk",FALSE,"Low Risk"
72,0.893,0.893,0,"At Risk","At Risk",FALSE,"Low Risk"
77,0.9217,0.9217,0,"At Risk","At Risk",FALSE,"Low Risk"
90,0.8165,0.8165,0,"At Risk","At Risk",FALSE,"At Risk"
93,0.8099,0.8099,0,"At Risk","At Risk",FALSE,"Low Risk"
99,0.4391,0.4391,0,"Low Risk","Low Risk",FALSE,"At Risk"
101,0.7049,0.7049,0,"At Risk","At Risk",FALSE,"Low Risk"
104,0.8363,0.8363,0,"At Risk","At Risk",FALSE,"Low Risk"
111,0.3496,0.3496,0,"Low Risk","Low Risk",FALSE,"Low Risk"
117,0.902,0.902,0,"At Risk","At Risk",FALSE,"Low Risk"
124,0.8278,0.8278,0,"At Risk","At Risk",FALSE,"At Risk"
125,0.6242,0.6242,0,"At Risk","At Risk",FALSE,"Low Risk"
126,0.818,0.818,0,"At Risk","At Risk",FALSE,"Low Risk"
128,0.1573,0.1573,0,"Low Risk","Low Risk",FALSE,"At Risk"
130,0.4215,0.4215,0,"Low Risk","Low Risk",FALSE,"At Risk"
131,0.6959,0.6959,0,"At Risk","At Risk",FALSE,"At Risk"
134,0.6791,0.6791,0,"At Risk","At Risk",FALSE,"At Risk"
135,0.7473,0.7473,0,"At Risk","At Risk",FALSE,"At Risk"
136,0.7239,0.7239,0,"At Risk","At Risk",FALSE,"At Risk"
137,0.297,0.297,0,"Low Risk","Low Risk",FALSE,"At Risk"
138,0.5047,0.5047,0,"At Risk","At Risk",FALSE,"Low Risk"
139,0.9248,0.9248,0,"At Risk","At Risk",FALSE,"Low Risk"
140,0.6584,0.6584,0,"At Risk","At Risk",FALSE,"At Risk"
144,0.0504,0.0504,0,"Low Risk","Low Risk",FALSE,"At Risk"
145,0.8796,0.8796,0,"At Risk","At Risk",FALSE,"Low Risk"
146,0.2259,0.2259,0,"Low Risk","Low Risk",FALSE,"At Risk"
148,0.7441,0.7441,0,"At Risk","At Risk",FALSE,"At Risk"
149,0.2322,0.2322,0,"Low Risk","Low Risk",FALSE,"Low Risk"
150,0.0882,0.0882,0,"Low Risk","Low Risk",FALSE,"At Risk"
153,0.0333,0.0333,0,"Low Risk","Low Risk",FALSE,"At Risk"
154,0.4817,0.4817,0,"Low Risk","Low Risk",FALSE,"Low Risk"
160,0.3566,0.3566,0,"Low Risk","Low Risk",FALSE,"At Risk"
162,0.6131,0.6131,0,"At Risk","At Risk",FALSE,"At Risk"
164,0.092,0.092,0,"Low Risk","Low Risk",FALSE,"At Risk"
167,0.8697,0.8697,0,"At Risk","At Risk",FALSE,"Low Risk"
168,0.6556,0.6556,0,"At Risk","At Risk",FALSE,"At Risk"
169,0.846,0.846,0,"At Risk","At Risk",FALSE,"Low Risk"
170,0.2406,0.2406,0,"Low Risk","Low Risk",FALSE,"At Risk"
172,0.7428,0.7428,0,"At Risk","At Risk",FALSE,"Low Risk"
173,0.1371,0.1371,0,"Low Risk","Low Risk",FALSE,"At Risk"
182,0.7827,0.7827,0,"At Risk","At Risk",FALSE,"Low Risk"
