"student_index","baseline_prob","scenario_prob","delta_prob","baseline_class","scenario_class","class_changed","actual_at_risk"
172,0.7428,0.5367,-0.2061,"At Risk","At Risk",FALSE,"Low Risk"
41,0.4627,0.2567,-0.2059,"Low Risk","Low Risk",FALSE,"Low Risk"
33,0.7445,0.539,-0.2056,"At Risk","At Risk",FALSE,"Low Risk"
162,0.6131,0.4077,-0.2054,"At Risk","Low Risk",TRUE,"At Risk"
306,0.5831,0.3779,-0.2052,"At Risk","Low Risk",TRUE,"Low Risk"
37,0.7957,0.5906,-0.2051,"At Risk","At Risk",FALSE,"Low Risk"
53,0.5799,0.3748,-0.205,"At Risk","Low Risk",TRUE,"Low Risk"
213,0.4577,0.2529,-0.2048,"Low Risk","Low Risk",FALSE,"At Risk"
352,0.6298,0.425,-0.2048,"At Risk","Low Risk",TRUE,"At Risk"
384,0.6324,0.4277,-0.2047,"At Risk","Low Risk",TRUE,"At Risk"
386,0.6338,0.4291,-0.2046,"At Risk","Low Risk",TRUE,"At Risk"
281,0.6377,0.4333,-0.2044,"At Risk","Low Risk",TRUE,"Low Risk"
118,0.4511,0.248,-0.2032,"Low Risk","Low Risk",FALSE,"At Risk"
371,0.6546,0.4515,-0.2031,"At Risk","Low Risk",TRUE,"Low Risk"
97,0.4499,0.2471,-0.2029,"Low Risk","Low Risk",FALSE,"Low Risk"
351,0.7529,0.55,-0.2029,"At Risk","At Risk",FALSE,"Low Risk"
178,0.6597,0.4571,-0.2026,"At Risk","Low Risk",TRUE,"At Risk"
367,0.663,0.4608,-0.2022,"At Risk","Low Risk",TRUE,"At Risk"
327,0.5381,0.336,-0.2021,"At Risk","Low Risk",TRUE,"Low Risk"
165,0.5349,0.3332,-0.2018,"At Risk","Low Risk",TRUE,"Low Risk"
225,0.4421,0.2412,-0.2009,"Low Risk","Low Risk",FALSE,"At Risk"
159,0.4406,0.2401,-0.2005,"Low Risk","Low Risk",FALSE,"Low Risk"
290,0.76,0.5595,-0.2005,"At Risk","At Risk",FALSE,"Low Risk"
15,0.8052,0.605,-0.2003,"At Risk","At Risk",FALSE,"Low Risk"
151,0.5214,0.3212,-0.2002,"At Risk","Low Risk",TRUE,"Low Risk"
82,0.7613,0.5613,-0.2,"At Risk","At Risk",FALSE,"At Risk"
383,0.5192,0.3193,-0.1999,"At Risk","Low Risk",TRUE,"At Risk"
132,0.5174,0.3177,-0.1997,"At Risk","Low Risk",TRUE,"Low Risk"
381,0.6839,0.4845,-0.1994,"At Risk","Low Risk",TRUE,"At Risk"
257,0.7634,0.5641,-0.1993,"At Risk","At Risk",FALSE,"Low Risk"
322,0.8073,0.6081,-0.1992,"At Risk","At Risk",FALSE,"Low Risk"
356,0.7636,0.5644,-0.1992,"At Risk","At Risk",FALSE,"Low Risk"
116,0.7639,0.5648,-0.1991,"At Risk","At Risk",FALSE,"Low Risk"
289,0.7644,0.5654,-0.1989,"At Risk","At Risk",FALSE,"Low Risk"
368,0.6943,0.4967,-0.1977,"At Risk","Low Risk",TRUE,"Low Risk"
131,0.6959,0.4985,-0.1974,"At Risk","Low Risk",TRUE,"At Risk"
391,0.6959,0.4985,-0.1974,"At Risk","Low Risk",TRUE,"Low Risk"
339,0.7709,0.5745,-0.1965,"At Risk","At Risk",FALSE,"Low Risk"
373,0.7008,0.5043,-0.1965,"At Risk","At Risk",FALSE,"At Risk"
171,0.7731,0.5775,-0.1956,"At Risk","At Risk",FALSE,"Low Risk"
223,0.7751,0.5803,-0.1948,"At Risk","At Risk",FALSE,"Low Risk"
16,0.71,0.5154,-0.1946,"At Risk","At Risk",FALSE,"Low Risk"
79,0.7759,0.5814,-0.1945,"At Risk","At Risk",FALSE,"At Risk"
71,0.8447,0.6504,-0.1943,"At Risk","At Risk",FALSE,"Low Risk"
90,0.8165,0.6224,-0.1941,"At Risk","At Risk",FALSE,"At Risk"
274,0.7778,0.5841,-0.1937,"At Risk","At Risk",FALSE,"Low Risk"
123,0.7146,0.521,-0.1936,"At Risk","At Risk",FALSE,"Low Risk"
345,0.8176,0.6242,-0.1935,"At Risk","At Risk",FALSE,"Low Risk"
303,0.8463,0.6532,-0.1931,"At Risk","At Risk",FALSE,"Low Risk"
198,0.4744,0.2816,-0.1928,"Low Risk","Low Risk",FALSE,"Low Risk"
70,0.8468,0.6542,-0.1927,"At Risk","At Risk",FALSE,"Low Risk"
182,0.7827,0.591,-0.1917,"At Risk","At Risk",FALSE,"Low Risk"
26,0.4652,0.2742,-0.191,"Low Risk","Low Risk",FALSE,"At Risk"
394,0.726,0.5351,-0.1909,"At Risk","At Risk",FALSE,"At Risk"
220,0.4044,0.2141,-0.1903,"Low Risk","Low Risk",FALSE,"At Risk"
250,0.4609,0.2708,-0.1901,"Low Risk","Low Risk",FALSE,"At Risk"
43,0.7869,0.597,-0.1899,"At Risk","At Risk",FALSE,"Low Risk"
4,0.8239,0.6341,-0.1898,"At Risk","At Risk",FALSE,"Low Risk"
241,0.7871,0.5972,-0.1898,"At Risk","At Risk",FALSE,"Low Risk"
216,0.4015,0.2121,-0.1895,"Low Risk","Low Risk",FALSE,"At Risk"
49,0.7881,0.5987,-0.1894,"At Risk","At Risk",FALSE,"Low Risk"
260,0.7887,0.5995,-0.1892,"At Risk","At Risk",FALSE,"Low Risk"
66,0.7892,0.6003,-0.1889,"At Risk","At Risk",FALSE,"Low Risk"
89,0.7899,0.6013,-0.1886,"At Risk","At Risk",FALSE,"At Risk"
346,0.8268,0.6388,-0.188,"At Risk","At Risk",FALSE,"Low Risk"
288,0.827,0.6392,-0.1879,"At Risk","At Risk",FALSE,"Low Risk"
261,0.7927,0.6054,-0.1873,"At Risk","At Risk",FALSE,"At Risk"
58,0.7931,0.6059,-0.1872,"At Risk","At Risk",FALSE,"Low Risk"
252,0.4473,0.2601,-0.1872,"Low Risk","Low Risk",FALSE,"At Risk"
355,0.3926,0.2059,-0.1867,"Low Risk","Low Risk",FALSE,"At Risk"
148,0.7441,0.5582,-0.186,"At Risk","At Risk",FALSE,"At Risk"
224,0.83,0.644,-0.186,"At Risk","At Risk",FALSE,"Low Risk"
12,0.8306,0.6449,-0.1857,"At Risk","At Risk",FALSE,"Low Risk"
242,0.7452,0.5595,-0.1857,"At Risk","At Risk",FALSE,"At Risk"
186,0.7463,0.561,-0.1853,"At Risk","At Risk",FALSE,"Low Risk"
203,0.7493,0.5649,-0.1844,"At Risk","At Risk",FALSE,"At Risk"
87,0.8334,0.6496,-0.1839,"At Risk","At Risk",FALSE,"Low Risk"
299,0.752,0.5685,-0.1836,"At Risk","At Risk",FALSE,"Low Risk"
230,0.802,0.619,-0.183,"At Risk","At Risk",FALSE,"Low Risk"
314,0.3439,0.1626,-0.1813,"Low Risk","Low Risk",FALSE,"Low Risk"
342,0.8058,0.6246,-0.1811,"At Risk","At Risk",FALSE,"Low Risk"
231,0.806,0.625,-0.181,"At Risk","At Risk",FALSE,"Low Risk"
266,0.8065,0.6257,-0.1808,"At Risk","At Risk",FALSE,"Low Risk"
308,0.3717,0.1918,-0.1799,"Low Risk","Low Risk",FALSE,"Low Risk"
267,0.8086,0.6289,-0.1797,"At Risk","At Risk",FALSE,"Low Risk"
166,0.8089,0.6294,-0.1795,"At Risk","At Risk",FALSE,"Low Risk"
326,0.7642,0.5847,-0.1795,"At Risk","At Risk",FALSE,"Low Risk"
93,0.8099,0.6308,-0.1791,"At Risk","At Risk",FALSE,"Low Risk"
375,0.8409,0.6619,-0.179,"At Risk","At Risk",FALSE,"Low Risk"
385,0.8411,0.6622,-0.1789,"At Risk","At Risk",FALSE,"Low Risk"
320,0.8114,0.6331,-0.1783,"At Risk","At Risk",FALSE,"Low Risk"
226,0.8115,0.6332,-0.1782,"At Risk","At Risk",FALSE,"Low Risk"
7,0.8127,0.6351,-0.1776,"At Risk","At Risk",FALSE,"Low Risk"
325,0.8446,0.6681,-0.1765,"At Risk","At Risk",FALSE,"Low Risk"
337,0.815,0.6386,-0.1764,"At Risk","At Risk",FALSE,"At Risk"
52,0.8161,0.6402,-0.1758,"At Risk","At Risk",FALSE,"Low Risk"
218,0.7773,0.6025,-0.1747,"At Risk","At Risk",FALSE,"At Risk"
35,0.779,0.605,-0.1741,"At Risk","At Risk",FALSE,"Low Risk"
197,0.7789,0.6048,-0.1741,"At Risk","At Risk",FALSE,"Low Risk"
191,0.8205,0.6471,-0.1734,"At Risk","At Risk",FALSE,"At Risk"
56,0.8225,0.6502,-0.1723,"At Risk","At Risk",FALSE,"Low Risk"
17,0.8521,0.681,-0.1711,"At Risk","At Risk",FALSE,"Low Risk"
102,0.7864,0.6152,-0.1711,"At Risk","At Risk",FALSE,"Low Risk"
359,0.8525,0.6817,-0.1709,"At Risk","At Risk",FALSE,"Low Risk"
124,0.8278,0.6584,-0.1693,"At Risk","At Risk",FALSE,"At Risk"
248,0.3416,0.1723,-0.1693,"Low Risk","Low Risk",FALSE,"At Risk"
280,0.791,0.6219,-0.1692,"At Risk","At Risk",FALSE,"At Risk"
295,0.7915,0.6225,-0.169,"At Risk","At Risk",FALSE,"Low Risk"
358,0.792,0.6233,-0.1688,"At Risk","At Risk",FALSE,"Low Risk"
234,0.8312,0.6638,-0.1673,"At Risk","At Risk",FALSE,"At Risk"
177,0.8316,0.6645,-0.1671,"At Risk","At Risk",FALSE,"At Risk"
291,0.8583,0.6917,-0.1666,"At Risk","At Risk",FALSE,"Low Risk"
180,0.8325,0.666,-0.1665,"At Risk","At Risk",FALSE,"At Risk"
189,0.8335,0.6676,-0.1659,"At Risk","At Risk",FALSE,"Low Risk"
238,0.8341,0.6686,-0.1655,"At Risk","At Risk",FALSE,"Low Risk"
227,0.8343,0.6689,-0.1654,"At Risk","At Risk",FALSE,"Low Risk"
310,0.3293,0.1645,-0.1648,"Low Risk","Low Risk",FALSE,"At Risk"
233,0.8355,0.6708,-0.1647,"At Risk","At Risk",FALSE,"Low Risk"
104,0.8363,0.6721,-0.1642,"At Risk","At Risk",FALSE,"Low Risk"
51,0.8371,0.6733,-0.1638,"At Risk","At Risk",FALSE,"Low Risk"
364,0.837,0.6731,-0.1638,"At Risk","At Risk",FALSE,"Low Risk"
160,0.3566,0.194,-0.1626,"Low Risk","Low Risk",FALSE,"At Risk"
5,0.8391,0.6766,-0.1625,"At Risk","At Risk",FALSE,"Low Risk"
42,0.807,0.645,-0.1621,"At Risk","At Risk",FALSE,"Low Risk"
193,0.8087,0.6475,-0.1612,"At Risk","At Risk",FALSE,"Low Risk"
269,0.318,0.1576,-0.1604,"Low Risk","Low Risk",FALSE,"At Risk"
84,0.843,0.6829,-0.1601,"At Risk","At Risk",FALSE,"Low Risk"
169,0.846,0.6879,-0.1581,"At Risk","At Risk",FALSE,"Low Risk"
156,0.8168,0.6595,-0.1573,"At Risk","At Risk",FALSE,"Low Risk"
382,0.8477,0.6906,-0.157,"At Risk","At Risk",FALSE,"Low Risk"
88,0.8523,0.6983,-0.154,"At Risk","At Risk",FALSE,"Low Risk"
143,0.8235,0.6696,-0.1539,"At Risk","At Risk",FALSE,"Low Risk"
276,0.8524,0.6985,-0.1539,"At Risk","At Risk",FALSE,"At Risk"
72,0.893,0.7406,-0.1524,"At Risk","At Risk",FALSE,"Low Risk"
235,0.8764,0.7243,-0.1521,"At Risk","At Risk",FALSE,"Low Risk"
378,0.8563,0.7051,-0.1512,"At Risk","At Risk",FALSE,"Low Risk"
122,0.8573,0.7068,-0.1506,"At Risk","At Risk",FALSE,"Low Risk"
184,0.8574,0.707,-0.1505,"At Risk","At Risk",FALSE,"Low Risk"
255,0.3176,0.1681,-0.1494,"Low Risk","Low Risk",FALSE,"At Risk"
36,0.8329,0.6841,-0.1488,"At Risk","At Risk",FALSE,"At Risk"
324,0.8806,0.7321,-0.1485,"At Risk","At Risk",FALSE,"Low Risk"
187,0.8607,0.7125,-0.1482,"At Risk","At Risk",FALSE,"Low Risk"
307,0.311,0.1639,-0.1471,"Low Risk","Low Risk",FALSE,"At Risk"
114,0.8623,0.7153,-0.147,"At Risk","At Risk",FALSE,"At Risk"
195,0.8631,0.7167,-0.1464,"At Risk","At Risk",FALSE,"Low Risk"
245,0.8375,0.6912,-0.1463,"At Risk","At Risk",FALSE,"Low Risk"
208,0.8378,0.6917,-0.1461,"At Risk","At Risk",FALSE,"Low Risk"
380,0.8678,0.7247,-0.143,"At Risk","At Risk",FALSE,"Low Risk"
237,0.844,0.7015,-0.1425,"At Risk","At Risk",FALSE,"Low Risk"
137,0.297,0.1551,-0.1419,"Low Risk","Low Risk",FALSE,"At Risk"
167,0.8697,0.7281,-0.1416,"At Risk","At Risk",FALSE,"Low Risk"
253,0.8458,0.7043,-0.1414,"At Risk","At Risk",FALSE,"At Risk"
6,0.8735,0.7348,-0.1387,"At Risk","At Risk",FALSE,"Low Risk"
74,0.8508,0.7125,-0.1384,"At Risk","At Risk",FALSE,"Low Risk"
14,0.8745,0.7366,-0.138,"At Risk","At Risk",FALSE,"Low Risk"
215,0.8757,0.7386,-0.1371,"At Risk","At Risk",FALSE,"Low Risk"
175,0.8761,0.7393,-0.1368,"At Risk","At Risk",FALSE,"At Risk"
141,0.2832,0.1465,-0.1367,"Low Risk","Low Risk",FALSE,"At Risk"
11,0.8774,0.7417,-0.1357,"At Risk","At Risk",FALSE,"At Risk"
129,0.8551,0.7193,-0.1357,"At Risk","At Risk",FALSE,"Low Risk"
145,0.8796,0.7456,-0.134,"At Risk","At Risk",FALSE,"Low Risk"
214,0.859,0.7258,-0.1332,"At Risk","At Risk",FALSE,"Low Risk"
370,0.2522,0.1192,-0.133,"Low Risk","Low Risk",FALSE,"At Risk"
285,0.8813,0.7486,-0.1327,"At Risk","At Risk",FALSE,"Low Risk"
277,0.8602,0.7277,-0.1325,"At Risk","At Risk",FALSE,"At Risk"
366,0.8982,0.7658,-0.1324,"At Risk","At Risk",FALSE,"Low Risk"
147,0.8821,0.7502,-0.132,"At Risk","At Risk",FALSE,"Low Risk"
196,0.8626,0.7317,-0.1309,"At Risk","At Risk",FALSE,"Low Risk"
98,0.8634,0.733,-0.1304,"At Risk","At Risk",FALSE,"Low Risk"
142,0.9003,0.7698,-0.1304,"At Risk","At Risk",FALSE,"Low Risk"
192,0.8849,0.7551,-0.1298,"At Risk","At Risk",FALSE,"At Risk"
254,0.8649,0.7355,-0.1294,"At Risk","At Risk",FALSE,"Low Risk"
158,0.866,0.7374,-0.1286,"At Risk","At Risk",FALSE,"Low Risk"
176,0.8881,0.7609,-0.1272,"At Risk","At Risk",FALSE,"Low Risk"
190,0.8886,0.7619,-0.1267,"At Risk","At Risk",FALSE,"Low Risk"
13,0.8697,0.7436,-0.1261,"At Risk","At Risk",FALSE,"Low Risk"
32,0.8914,0.7671,-0.1244,"At Risk","At Risk",FALSE,"Low Risk"
9,0.8917,0.7676,-0.1241,"At Risk","At Risk",FALSE,"Low Risk"
199,0.8934,0.7708,-0.1227,"At Risk","At Risk",FALSE,"Low Risk"
279,0.8749,0.7523,-0.1226,"At Risk","At Risk",FALSE,"Low Risk"
146,0.2259,0.1048,-0.1211,"Low Risk","Low Risk",FALSE,"At Risk"
77,0.9217,0.8011,-0.1206,"At Risk","At Risk",FALSE,"Low Risk"
57,0.8964,0.7764,-0.1201,"At Risk","At Risk",FALSE,"Low Risk"
48,0.9225,0.8027,-0.1197,"At Risk","At Risk",FALSE,"Low Risk"
170,0.2406,0.121,-0.1196,"Low Risk","Low Risk",FALSE,"At Risk"
181,0.8971,0.7776,-0.1195,"At Risk","At Risk",FALSE,"Low Risk"
221,0.2075,0.0884,-0.1191,"Low Risk","Low Risk",FALSE,"At Risk"
27,0.8824,0.7652,-0.1172,"At Risk","At Risk",FALSE,"Low Risk"
194,0.8823,0.7651,-0.1172,"At Risk","At Risk",FALSE,"Low Risk"
149,0.2322,0.1161,-0.1161,"Low Risk","Low Risk",FALSE,"Low Risk"
377,0.9011,0.7852,-0.1159,"At Risk","At Risk",FALSE,"Low Risk"
91,0.8846,0.769,-0.1156,"At Risk","At Risk",FALSE,"Low Risk"
304,0.2134,0.0981,-0.1152,"Low Risk","Low Risk",FALSE,"Low Risk"
393,0.8923,0.7825,-0.1098,"At Risk","At Risk",FALSE,"Low Risk"
207,0.9079,0.7982,-0.1097,"At Risk","At Risk",FALSE,"Low Risk"
259,0.9305,0.8208,-0.1097,"At Risk","At Risk",FALSE,"At Risk"
349,0.2163,0.1071,-0.1093,"Low Risk","Low Risk",FALSE,"Low Risk"
353,0.2153,0.1065,-0.1088,"Low Risk","Low Risk",FALSE,"At Risk"
120,0.9102,0.8026,-0.1076,"At Risk","At Risk",FALSE,"Low Risk"
22,0.8965,0.79,-0.1065,"At Risk","At Risk",FALSE,"Low Risk"
246,0.9006,0.7974,-0.1032,"At Risk","At Risk",FALSE,"Low Risk"
117,0.902,0.7999,-0.1021,"At Risk","At Risk",FALSE,"Low Risk"
110,0.9031,0.8018,-0.1012,"At Risk","At Risk",FALSE,"Low Risk"
163,0.9046,0.8046,-0.1,"At Risk","At Risk",FALSE,"Low Risk"
113,0.9089,0.8126,-0.0963,"At Risk","At Risk",FALSE,"Low Risk"
20,0.9093,0.8132,-0.0961,"At Risk","At Risk",FALSE,"Low Risk"
28,0.9094,0.8135,-0.0959,"At Risk","At Risk",FALSE,"Low Risk"
119,0.9096,0.8139,-0.0958,"At Risk","At Risk",FALSE,"Low Risk"
236,0.9229,0.8277,-0.0952,"At Risk","At Risk",FALSE,"Low Risk"
206,0.168,0.0749,-0.093,"Low Risk","Low Risk",FALSE,"At Risk"
376,0.1577,0.0648,-0.0928,"Low Risk","Low Risk",FALSE,"Low Risk"
390,0.1629,0.0724,-0.0905,"Low Risk","Low Risk",FALSE,"At Risk"
31,0.9302,0.8425,-0.0878,"At Risk","At Risk",FALSE,"Low Risk"
243,0.919,0.8313,-0.0877,"At Risk","At Risk",FALSE,"Low Risk"
10,0.9324,0.8469,-0.0855,"At Risk","At Risk",FALSE,"Low Risk"
139,0.9248,0.8423,-0.0825,"At Risk","At Risk",FALSE,"Low Risk"
23,0.9353,0.8529,-0.0824,"At Risk","At Risk",FALSE,"Low Risk"
128,0.1573,0.075,-0.0823,"Low Risk","Low Risk",FALSE,"At Risk"
34,0.9359,0.8542,-0.0817,"At Risk","At Risk",FALSE,"Low Risk"
270,0.1447,0.0636,-0.0812,"Low Risk","Low Risk",FALSE,"At Risk"
173,0.1371,0.0599,-0.0772,"Low Risk","Low Risk",FALSE,"At Risk"
83,0.9423,0.8675,-0.0747,"At Risk","At Risk",FALSE,"Low Risk"
55,0.9364,0.8648,-0.0716,"At Risk","At Risk",FALSE,"Low Risk"
350,0.1244,0.0539,-0.0705,"Low Risk","Low Risk",FALSE,"At Risk"
21,0.9551,0.8952,-0.06,"At Risk","At Risk",FALSE,"Low Risk"
